case_id,channel,seed,snr_db,trials,metric,value,reported_value,config,log
pusch_tp0_256qam_zf,PUSCH,12345,35,200,bler,0,0.0000,configs/pusch_tp0_256qam_zf_seed12345.cfg,logs/pusch_tp0_256qam_zf_seed12345.txt
pusch_tp0_256qam_zf,PUSCH,67890,25,200,ber,0.00022135,2.2135e-04,configs/pusch_tp0_256qam_zf_seed67890.cfg,logs/pusch_tp0_256qam_zf_seed67890.txt
pusch_tp0_256qam_zf,PUSCH,67890,25,200,bler,0.11,0.1100,configs/pusch_tp0_256qam_zf_seed67890.cfg,logs/pusch_tp0_256qam_zf_seed67890.txt
pusch_tp0_256qam_zf,PUSCH,67890,30,200,ber,0.000019531,1.9531e-05,configs/pusch_tp0_256qam_zf_seed67890.cfg,logs/pusch_tp0_256qam_zf_seed67890.txt
pusch_tp0_256qam_zf,PUSCH,67890,30,200,bler,0.015,0.0150,configs/pusch_tp0_256qam_zf_seed67890.cfg,logs/pusch_tp0_256qam_zf_seed67890.txt
pusch_tp0_256qam_zf,PUSCH,67890,35,200,ber,0,0.0000e+00,configs/pusch_tp0_256qam_zf_seed67890.cfg,logs/pusch_tp0_256qam_zf_seed67890.txt
pusch_tp0_256qam_zf,PUSCH,67890,35,200,bler,0,0.0000,configs/pusch_tp0_256qam_zf_seed67890.cfg,logs/pusch_tp0_256qam_zf_seed67890.txt
pusch_tp1_256qam_zf,PUSCH,12345,25,200,ber,0.0002474,2.4740e-04,configs/pusch_tp1_256qam_zf_seed12345.cfg,logs/pusch_tp1_256qam_zf_seed12345.txt
pusch_tp1_256qam_zf,PUSCH,12345,25,200,bler,0.09,0.0900,configs/pusch_tp1_256qam_zf_seed12345.cfg,logs/pusch_tp1_256qam_zf_seed12345.txt
pusch_tp1_256qam_zf,PUSCH,12345,30,200,ber,0,0.0000e+00,configs/pusch_tp1_256qam_zf_seed12345.cfg,logs/pusch_tp1_256qam_zf_seed12345.txt
pusch_tp1_256qam_zf,PUSCH,12345,30,200,bler,0,0.0000,configs/pusch_tp1_256qam_zf_seed12345.cfg,logs/pusch_tp1_256qam_zf_seed12345.txt
pusch_tp1_256qam_zf,PUSCH,12345,35,200,ber,0,0.0000e+00,configs/pusch_tp1_256qam_zf_seed12345.cfg,logs/pusch_tp1_256qam_zf_seed12345.txt
