case_id,channel,seed,snr_db,trials,metric,value,reported_value,config,log
pdsch_dmrs_qpsk_mmse,PDSCH,67890,15.0,200,bler,0.0,0.0000,configs/pdsch_dmrs_qpsk_mmse_seed67890.cfg,logs/pdsch_dmrs_qpsk_mmse_seed67890.txt
pdsch_dmrs_qpsk_mmse,PDSCH,67890,20.0,200,ber,0.0,0.0000e+00,configs/pdsch_dmrs_qpsk_mmse_seed67890.cfg,logs/pdsch_dmrs_qpsk_mmse_seed67890.txt
pdsch_dmrs_qpsk_mmse,PDSCH,67890,20.0,200,bler,0.0,0.0000,configs/pdsch_dmrs_qpsk_mmse_seed67890.cfg,logs/pdsch_dmrs_qpsk_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,-10.0,200,ber,0.47318,4.7318e-01,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,-10.0,200,bler,1.0,1.0000,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,-5.0,200,ber,0.41658,4.1658e-01,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,-5.0,200,bler,1.0,1.0000,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,0.0,200,ber,0.31791,3.1791e-01,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,0.0,200,bler,1.0,1.0000,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,5.0,200,ber,0.18179,1.8179e-01,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,5.0,200,bler,0.925,0.9250,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,10.0,200,ber,0.0,0.0000e+00,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,10.0,200,bler,0.0,0.0000,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,15.0,200,ber,0.0,0.0000e+00,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,15.0,200,bler,0.0,0.0000,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,20.0,200,ber,0.0,0.0000e+00,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,12345,20.0,200,bler,0.0,0.0000,configs/pdsch_dmrs_16qam_mmse_seed12345.cfg,logs/pdsch_dmrs_16qam_mmse_seed12345.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,-10.0,200,ber,0.47465,4.7465e-01,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,-10.0,200,bler,1.0,1.0000,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,-5.0,200,ber,0.42201,4.2201e-01,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,-5.0,200,bler,1.0,1.0000,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,0.0,200,ber,0.32231,3.2231e-01,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,0.0,200,bler,1.0,1.0000,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,5.0,200,ber,0.18158,1.8158e-01,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,5.0,200,bler,0.93,0.9300,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,10.0,200,ber,0.0,0.0000e+00,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,10.0,200,bler,0.0,0.0000,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,15.0,200,ber,0.0,0.0000e+00,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,15.0,200,bler,0.0,0.0000,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,20.0,200,ber,0.0,0.0000e+00,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pdsch_dmrs_16qam_mmse,PDSCH,67890,20.0,200,bler,0.0,0.0000,configs/pdsch_dmrs_16qam_mmse_seed67890.cfg,logs/pdsch_dmrs_16qam_mmse_seed67890.txt
pusch_tp0_16qam_mmse,PUSCH,12345,-10.0,200,ber,0.46935,4.6935e-01,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,-10.0,200,bler,1.0,1.0000,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,-5.0,200,ber,0.4144,4.1440e-01,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,-5.0,200,bler,1.0,1.0000,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,0.0,200,ber,0.31878,3.1878e-01,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,0.0,200,bler,1.0,1.0000,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,5.0,200,ber,0.18098,1.8098e-01,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,5.0,200,bler,0.915,0.9150,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,10.0,200,ber,5.4348e-05,5.4348e-05,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,10.0,200,bler,0.005,0.0050,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,15.0,200,ber,2.7174e-05,2.7174e-05,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,15.0,200,bler,0.005,0.0050,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,20.0,200,ber,0.0,0.0000e+00,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,12345,20.0,200,bler,0.0,0.0000,configs/pusch_tp0_16qam_mmse_seed12345.cfg,logs/pusch_tp0_16qam_mmse_seed12345.txt
pusch_tp0_16qam_mmse,PUSCH,67890,-10.0,200,ber,0.46571,4.6571e-01,configs/pusch_tp0_16qam_mmse_seed67890.cfg,logs/pusch_tp0_16qam_mmse_seed67890.txt
pusch_tp0_16qam_mmse,PUSCH,67890,-10.0,200,bler,1.0,1.0000,configs/pusch_tp0_16qam_mmse_seed67890.cfg,logs/pusch_tp0_16qam_mmse_seed67890.txt
pusch_tp0_16qam_mmse,PUSCH,67890,-5.0,200,ber,0.42484,4.2484e-01,configs/pusch_tp0_16qam_mmse_seed67890.cfg,logs/pusch_tp0_16qam_mmse_seed67890.txt
pusch_tp0_16qam_mmse,PUSCH,67890,-5.0,200,bler,1.0,1.0000,configs/pusch_tp0_16qam_mmse_seed67890.cfg,logs/pusch_tp0_16qam_mmse_seed67890.txt
pusch_tp0_16qam_mmse,PUSCH,67890,0.0,200,ber,0.32386,3.2386e-01,configs/pusch_tp0_16qam_mmse_seed67890.cfg,logs/pusch_tp0_16qam_mmse_seed67890.txt
pusch_tp0_16qam_mmse,PUSCH,67890,0.0,200,bler,1.0,1.0000,configs/pusch_tp0_16qam_mmse_seed67890.cfg,logs/pusch_tp0_16qam_mmse_seed67890.txt
pusch_tp0_16qam_mmse,PUSCH,67890,5.0,200,ber,0.17266,1.7266e-01,configs/pusch_tp0_16qam_mmse_seed67890.cfg,logs/pusch_tp0_16qam_mmse_seed67890.txt
pusch_tp0_16qam_mmse,PUSCH,67890,5.0,200,bler,0.92,0.9200,configs/pusch_tp0_16qam_mmse_seed67890.cfg,logs/pusch_tp0_16qam_mmse_seed67890.txt
